Age,Spectacle_Prescription,Astigmatism,Tear_Production_Rate,Recommended_Lenses
young,myope,No,reduced,none
young,myope,No,normal,soft
young,myope,Yes,reduced,none
young,myope,Yes,normal,hard
young,hypermetrope,No,reduced,none
young,hypermetrope,No,normal,soft
young,hypermetrope,Yes,reduced,none
young,hypermetrope,Yes,normal,hard
pre-presbyopic,myope,No,reduced,none
pre-presbyopic,myope,No,normal,soft
pre-presbyopic,myope,Yes,reduced,none
pre-presbyopic,myope,Yes,normal,hard
pre-presbyopic,hypermetrope,No,reduced,none
pre-presbyopic,hypermetrope,No,normal,soft
pre-presbyopic,hypermetrope,Yes,reduced,none
pre-presbyopic,hypermetrope,Yes,normal,none
presbyopic,myope,No,reduced,none
presbyopic,myope,No,normal,none
presbyopic,myope,Yes,reduced,none
presbyopic,myope,Yes,normal,hard
presbyopic,hypermetrope,No,reduced,none
presbyopic,hypermetrope,No,normal,soft
presbyopic,hypermetrope,Yes,reduced,none
presbyopic,hypermetrope,Yes,normal,none
